GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tailwindfx,tailwindfx,FxFlexPane.new ChangeListener() {...},30,0,2,0,6,0,3,0,2,0
tailwindfx,tailwindfx,TailwindFXMetrics,552,508,67,17,82,89,58,26,21,21
tailwindfx,tailwindfx,ComponentFactory.GlassBuilder,42,51,2,0,9,13,2,7,1,7
tailwindfx,tailwindfx,TailwindFX,1116,163,60,24,306,33,214,11,178,5
tailwindfx,tailwindfx,ComponentFactory.CardBuilder,73,138,8,6,9,31,7,10,0,10
tailwindfx,tailwindfx,ComponentFactory.ModalBuilder,145,0,8,0,32,0,11,0,7,0
tailwindfx,tailwindfx,ResponsiveNode.Builder,85,0,2,0,16,0,11,0,10,0
tailwindfx,tailwindfx,FxGridPane.AutoFlow,27,0,0,0,5,0,1,0,1,0
tailwindfx,tailwindfx,VariantManager,671,0,134,0,183,0,103,0,30,0
tailwindfx,tailwindfx,TailwindFX.Config,69,17,4,0,20,5,12,1,10,1
tailwindfx,tailwindfx,StyleMerger,82,100,10,10,19,24,10,10,4,6
tailwindfx,tailwindfx,FxDataTable.ColDef,12,0,0,0,1,0,1,0,1,0
tailwindfx,tailwindfx,FxFlexPane.Align,27,0,0,0,2,0,1,0,1,0
tailwindfx,tailwindfx,StyleToken,90,600,12,47,7,78,13,37,1,9
tailwindfx,tailwindfx,FxFlexPane,2055,0,189,0,391,0,163,0,62,0
tailwindfx,tailwindfx,JitCompiler.BatchResult,1,16,1,1,0,2,1,2,0,2
tailwindfx,tailwindfx,VariantParser,656,0,101,0,131,0,82,0,12,0
tailwindfx,tailwindfx,StyleToken.Kind,0,33,0,0,0,1,0,1,0,1
tailwindfx,tailwindfx,VariantParser.VariantResult,49,0,4,0,10,0,8,0,6,0
tailwindfx,tailwindfx,BreakpointManager.BP,13,0,0,0,6,0,1,0,1,0
tailwindfx,tailwindfx,ComponentFactory.DataTableBuilder,141,0,14,0,30,0,19,0,12,0
tailwindfx,tailwindfx,BreakpointManager.BpListener,18,0,0,0,3,0,2,0,2,0
tailwindfx,tailwindfx,BreakpointManager.CustomBreakpoint,9,0,0,0,1,0,1,0,1,0
tailwindfx,tailwindfx,FxLayout,1800,0,251,0,310,0,218,0,84,0
tailwindfx,tailwindfx,BreakpointManager.CustomBuilder,34,0,0,0,6,0,4,0,4,0
tailwindfx,tailwindfx,FxDataTable.Builder,93,0,2,0,22,0,10,0,9,0
tailwindfx,tailwindfx,ColorPalette,44,1034,12,18,9,107,12,13,1,9
tailwindfx,tailwindfx,ComponentFactory.DrawerBuilder,216,25,13,0,43,7,9,3,1,3
tailwindfx,tailwindfx,ComponentFactory.DrawerSide,0,27,0,0,0,1,0,1,0,1
tailwindfx,tailwindfx,FxDataTable.new TableRow() {...},40,0,6,0,8,0,6,0,3,0
tailwindfx,tailwindfx,FxDataTable,686,0,52,0,124,0,63,0,37,0
tailwindfx,tailwindfx,JitCompiler,1370,996,297,141,280,217,267,83,10,20
tailwindfx,tailwindfx,ThemeManager.ThemeVars,24,0,0,0,1,0,1,0,1,0
tailwindfx,tailwindfx,FxVirtualFlow.SelectionMode,21,0,0,0,1,0,1,0,1,0
tailwindfx,tailwindfx,VariantManager.ResponsiveBinding,12,0,0,0,1,0,1,0,1,0
tailwindfx,tailwindfx,ResponsiveNode,200,0,22,0,46,0,20,0,9,0
tailwindfx,tailwindfx,ThemeManager,952,0,68,0,207,0,69,0,35,0
tailwindfx,tailwindfx,ComponentFactory.new Record() {...},12,0,0,0,1,0,1,0,1,0
tailwindfx,tailwindfx,FxI18n.new ResourceBundle() {...},2,5,0,0,1,2,1,2,1,2
tailwindfx,tailwindfx,Preconditions,79,78,17,11,21,18,17,12,8,7
tailwindfx,tailwindfx,FxGridPane,1376,0,122,0,234,0,109,0,48,0
tailwindfx,tailwindfx,StylePerf,250,11,28,0,60,4,26,2,12,2
tailwindfx,tailwindfx,BreakpointManager,524,0,68,0,97,0,61,0,27,0
tailwindfx,tailwindfx,Styles,1656,0,78,0,384,0,167,0,128,0
tailwindfx,tailwindfx,FxFlexPane.Direction,15,0,0,0,2,0,1,0,1,0
tailwindfx,tailwindfx,ThemeScopeManager.ScopeBuilder,308,0,18,0,59,0,29,0,17,0
tailwindfx,tailwindfx,FxAnimation,2032,0,28,0,238,0,73,0,59,0
tailwindfx,tailwindfx,BreakpointManager.Breakpoint,89,0,4,0,15,0,5,0,3,0
tailwindfx,tailwindfx,FxAnimation.AnimationRegistry,93,0,6,0,24,0,12,0,9,0
tailwindfx,tailwindfx,TailwindFXMetrics.HealthIssue,20,0,0,0,2,0,2,0,2,0
tailwindfx,tailwindfx,ThemeScopeManager,328,0,42,0,55,0,34,0,13,0
tailwindfx,tailwindfx,FxLayout.LayoutType,63,0,0,0,1,0,1,0,1,0
tailwindfx,tailwindfx,FxFlexPane.Justify,39,0,0,0,5,0,1,0,1,0
tailwindfx,tailwindfx,ComponentFactory,185,91,6,0,40,17,13,6,9,6
tailwindfx,tailwindfx,FxI18n,204,128,13,1,57,39,19,13,12,13
tailwindfx,tailwindfx,FxAnimation.ResponsiveAnimationGuard,197,0,44,0,47,0,28,0,6,0
tailwindfx,tailwindfx,FxGridPane.Builder,106,0,4,0,36,0,14,0,12,0
tailwindfx,tailwindfx,ComponentFactory.NeumorphicBuilder,85,0,4,0,19,0,9,0,7,0
tailwindfx,tailwindfx,FxVirtualFlow,1872,0,170,0,329,0,172,0,87,0
tailwindfx,tailwindfx,FxFlexPane.AlignContent,45,0,0,0,6,0,1,0,1,0
tailwindfx,tailwindfx,JitCompiler.new LinkedHashMap() {...},0,14,0,2,0,2,0,3,0,2
tailwindfx,tailwindfx,UtilityConflictResolver,169,1600,34,36,45,113,33,24,9,13
tailwindfx,tailwindfx,JitCompiler.CompileResult,0,55,2,6,0,6,2,8,0,6
tailwindfx,tailwindfx,FxLayout.Snap,45,0,0,0,1,0,1,0,1,0
